,old_data,new_data
532,26995.0,18665.301842467627
533,22500.0,24285.24098494486
534,14781.0,18283.44652381772
535,29495.0,24656.55214411975
536,27979.0,25196.49845186458
537,27488.0,23310.013016407378
538,27583.0,21046.079401639523
539,24000.0,22481.222447463777
540,23997.0,24010.13725473336
541,24830.0,19879.87944190926
542,25918.0,24278.39854422235
543,27560.0,21398.011642602505
544,22889.0,19152.325075698085
545,28998.0,24643.87463203934
546,24931.0,25386.879280892666
547,8995.0,9422.387748645619
548,10986.0,9009.50326708774
549,17499.0,23793.98909773724
550,18295.0,20303.517379397526
551,24995.0,18212.11908631469
552,21000.0,24066.901834357297
553,15495.0,18183.613246363355
554,19133.0,17609.94190462539
555,24600.0,25264.967987747863
